"ADM3_PCODE","N","S1","S2","S3"
"270106","2780","0","40889","4630"
"270108","6075","0","49651","16699"
"270111","1804","18631","71350","2442"
"270201","335","0","7813","16290"
"270202","64","0","12531","4001"
"270203","0","0","4080","11548"
"270204","0","0","2904","5645"
"270205","25","0","20848","3592"
"270206","1","0","3056","10871"
"270207","96","0","3241","8700"
"270301","7002","50363","4420","10956"
"270302","4481","14542","3376","216"
"270306","8259","39363","12493","114"
"270307","3774","33692","9268","0"
"270309","274","25940","31416","4341"
"270401","202","0","11406","6447"
"270403","1131","0","38128","3915"
"270405","119","0","6258","6661"
"270406","197","0","25002","20064"
"270501","245","0","0","2123"
"270502","550","0","9307","13605"
"270503","485","2377","3436","1413"
"270504","2672","25916","22848","3080"
"270505","3769","28091","0","3553"
"270506","3146","7292","0","11364"
"270507","164","8097","0","668"
"270508","1034","1915","27994","6579"
"270509","4881","27311","499","4228"
"270510","681","37884","769","3263"
"270511","902","1507","18578","8761"
"270601","52","0","0","0"
"270602","722","685","108","75"
"270603","49","1555","0","1136"
"270604","519","0","6095","710"
"270605","161","0","0","0"
"270606","37","0","341","0"
"270607","0","0","10292","4950"
"270608","13","0","1826","0"
"270609","133","0","4846","6029"
"270610","114","44","0","154"
"270611","471","335","6554","3536"
"270612","373","0","0","0"
"270613","64","0","1231","0"
"270701","693","0","16514","1247"
"270702","1854","0","63609","19124"
"270703","5534","0","39985","12451"
"270704","1465","0","17999","2568"
"270801","508","0","231","1736"
"270802","1461","22633","9205","3366"
"270803","1042","38205","0","2418"
"270804","74","0","72","410"
"270901","189","0","56545","5642"
"270902","86","0","67930","14027"
"270903","468","0","64940","18701"
"300101","0","0","81","0"
"300102","96","0","7755","0"
"300103","93","0","5303","0"
"300104","11","0","1010","0"
"300105","0","0","3482","0"
"300106","197","0","10916","0"
"300107","15","0","322","0"
"300109","138","47","3691","0"
"300111","33","0","1116","0"
"300113","5","0","40","0"
"300114","542","185","9352","17"
"300115","11","0","1957","1775"
"300116","10","0","1619","0"
"300117","730","3850","2401","343"
"300118","84","334","13521","9"
"300119","50","0","10698","0"
"300120","241","623","7142","27"
"300121","0","0","10837","0"
"300122","0","0","241","437"
"300123","6","75","2373","0"
"300125","199","0","3700","36"
"300201","1110","103983","419","11292"
"300202","1138","3281","2628","3840"
"300203","178","3574","0","0"
"300204","2080","10248","18872","5945"
"300205","2998","4178","9670","297"
"300206","484","145168","271","3651"
"300207","231","11107","1624","5169"
"300208","1337","1434","14097","4267"
"300209","868","7636","19969","9876"
"300210","287","1047","3654","0"
"300211","879","50368","14073","695"
"300212","144","60961","0","5897"
"300301","1203","48895","16222","4486"
"300302","6174","0","34625","0"
"300303","2690","4965","20149","8484"
"300304","5938","60514","7760","18335"
"300305","4473","97555","0","17972"
"300306","22","0","0","0"
"300401","72","0","58","0"
"300402","0","0","43","0"
"300403","141","0","265","0"
"300404","0","11","0","0"
"300405","1877","648","7781","0"
"300406","2525","0","4054","0"
